File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
DG-N,583,0.738682205,677,0.834190546,0.999088838,0.810863475,0.998582087,0.995999147,0.985966411,0.966975143,1,0.963636364,0.941860465,0.836065574,1,0.981481481,0.97005988,0.910714286,0.838630807,0.833740831,0.819951338,0.797590361
DG-P,1960,0.482576558,2219,0.628494894,0.984496124,0.702768548,0.981698713,0.963247306,0.914522897,0.835912377,0.592592593,0.566037736,0.524390244,0.47706422,0.744186047,0.722891566,0.688,0.645962733,0.489247312,0.44386423,0.397468354,0.357142857
FFG,1898,0.55798789,2012,0.705933937,0.99501164,0.721262748,0.990656074,0.978329694,0.942913478,0.885988859,0.964285714,0.929824561,0.920454545,0.834645669,0.981818182,0.963636364,0.958579882,0.909871245,0.548229548,0.528985507,0.508353222,0.484705882
RT-A,627,0.656626506,749,0.783713543,0.990170719,0.821441738,0.994913433,0.985277163,0.947681825,0.884986561,0.892857143,0.877192982,0.875,0.801587302,0.943396226,0.934579439,0.933333333,0.889867841,0.816091954,0.759776536,0.701897019,0.643044619
RT-AR,732,0.669972949,884,0.78647343,0.99429324,0.816814134,0.994917145,0.985183495,0.93877405,0.892757664,0.931034483,0.898305085,0.89010989,0.841269841,0.964285714,0.946428571,0.941860465,0.913793103,0.834951456,0.774117647,0.69751693,0.651982379
RT-ARP,1224,0.520939335,1500,0.649696404,0.993621197,0.743297455,0.958680842,0.897893612,0.678299119,0.572758409,0.785714286,0.679245283,0.609756098,0.5,0.88,0.808988764,0.757575758,0.666666667,0.564870259,0.483870968,0.368421053,0.31641286
H-E,2843,0.330743879,2917,0.492077312,0.998335183,0.644117107,0.92630712,0.826740751,0.552869952,0.419662427,0.62962963,0.490566038,0.409638554,0.316239316,0.772727273,0.658227848,0.581196581,0.480519481,0.334957369,0.299287411,0.256616801,0.224719101
Sobel,642,0.715803453,773,0.813149625,0.999101124,0.808441421,0.998676128,0.994841284,0.973396905,0.925516529,0.892857143,0.875,0.850574713,0.737704918,0.943396226,0.933333333,0.919254658,0.849056604,0.815602837,0.798122066,0.760368664,0.704697987
Roberts,633,0.738321621,792,0.830696879,0.994774169,0.835602076,0.997839614,0.993931336,0.977164677,0.955053919,0.964285714,0.929824561,0.91011236,0.816,0.981818182,0.963636364,0.952941176,0.898678414,0.898454746,0.841201717,0.772256729,0.732251521
RASTA,832,0.704125178,988,0.809560524,0.989312433,0.797685018,0.996531064,0.990549421,0.965358068,0.935820891,0.931034483,0.898305085,0.870967742,0.772727273,0.964285714,0.946428571,0.931034483,0.871794872,0.769516729,0.714801444,0.648695652,0.614334471
Susan,714,0.687937063,868,0.787775061,0.999529633,0.781261953,0.99806516,0.993427118,0.974845178,0.930288895,0.964285714,0.929824561,0.879120879,0.731343284,0.981818182,0.963636364,0.935672515,0.844827586,0.766109785,0.752969121,0.723653396,0.671981777
JPEG,4607,0.254047927,4686,0.402752995,1,0.606600917,0.905108316,0.794454709,0.590502022,0.533195868,0.777777778,0.647058824,0.564102564,0.401785714,0.875,0.785714286,0.721311475,0.573248408,0.241140882,0.239412273,0.234482759,0.22117848
JPEG-R,884,0.670640835,1140,0.777950915,0.97684065,0.811419358,0.99587736,0.990182196,0.968294396,0.940128363,0.964285714,0.929824561,0.879120879,0.75,0.981818182,0.963636364,0.935672515,0.857142857,0.821705426,0.769811321,0.708029197,0.653097345
FFG-Ext,4013,0.434629473,4379,0.587081565,0.990988797,0.682651209,0.914354217,0.812759002,0.55031312,0.485700618,0.678571429,0.543859649,0.483516484,0.387596899,0.808510638,0.704545455,0.651851852,0.558659218,0.382078853,0.328275862,0.264957265,0.230473752
FFG-HPV,2480,0.539974031,2763,0.679800672,0.997407311,0.722188815,0.98456364,0.958712766,0.875861235,0.738357094,0.857142857,0.803571429,0.752808989,0.653543307,0.923076923,0.891089109,0.858974359,0.79047619,0.576699029,0.538899431,0.497227357,0.44593387
